410,33,112,5,tanh,81,average,14,1,linear,9,sigmoid,adadelta,mean_squared_error,299,3,3,1,0.6945422035209033
396,29,95,5,elu,139,average,11,1,linear,6,sigmoid,rmsprop,mean_squared_error,302,2,2,1,0.8591774509725337
282,15,76,2,elu,91,average,6,1,tanh,8,tanh,rmsprop,mean_absolute_percentage_error,207,2,2,4,0.7366920596574659
275,14,78,2,relu,56,max,6,1,tanh,12,tanh,sgd,mean_absolute_percentage_error,198,3,3,4,0.6052842747432462
440,28,98,3,elu,49,average,11,2,tanh,107,linear,rmsprop,mean_absolute_percentage_error,343,7,6,3,0.47177601151433696
432,28,97,3,elu,159,average,11,1,tanh,37,linear,rmsprop,mean_absolute_percentage_error,336,2,2,3,0.6124886529661507
483,26,100,3,elu,97,average,12,2,tanh,39,linear,rmsprop,mean_absolute_percentage_error,384,3,2,3,0.7172843339532804
476,24,99,3,elu,45,average,10,2,tanh,70,linear,rmsprop,mean_absolute_percentage_error,378,8,7,3,0.5997737775970061
467,24,95,3,elu,44,average,10,2,tanh,129,linear,rmsprop,mean_absolute_percentage_error,373,8,7,3,0.5181446190468401
451,31,93,3,linear,69,average,13,3,tanh,82,elu,rmsprop,mean_absolute_percentage_error,359,5,3,3,0.48192418855242125
723,29,146,4,linear,214,average,13,1,swish,9,elu,rmsprop,mean_absolute_percentage_error,578,2,2,2,0.5184623069063847
519,29,105,4,tanh,61,average,8,4,swish,11,linear,rmsprop,mean_absolute_percentage_error,415,6,3,2,0.47591471298510285
520,20,106,3,tanh,62,average,8,4,sigmoid,15,linear,adam,mean_absolute_percentage_error,415,6,3,3,0.5908036303669153
337,20,89,3,swish,57,average,9,1,sigmoid,22,linear,adam,mean_absolute_percentage_error,249,4,4,3,0.6101122193962569
684,29,138,4,tanh,55,average,8,6,swish,12,linear,rmsprop,mean_absolute_percentage_error,547,9,4,2,0.6132361889672916
578,27,117,4,tanh,37,average,8,5,swish,101,linear,rmsprop,mean_absolute_percentage_error,462,12,8,2,0.4798788855913829
751,27,152,4,tanh,36,average,11,15,swish,11,linear,rmsprop,mean_absolute_percentage_error,600,16,2,2,0.4678644287226461
744,35,150,4,tanh,29,average,14,3,swish,60,swish,rmsprop,mean_absolute_percentage_error,595,20,18,2,0.4698816855150912
752,26,151,3,tanh,5,average,11,11,swish,336,swish,rmsprop,mean_absolute_percentage_error,602,120,110,3,0.6083673190092797
754,35,152,3,tanh,31,average,14,14,swish,159,swish,rmsprop,mean_absolute_percentage_error,603,19,6,3,0.6051944152224414
711,37,162,4,tanh,21,average,14,17,swish,61,swish,rmsprop,mean_absolute_percentage_error,550,26,10,2,0.860422841680724
711,38,165,4,tanh,18,average,15,24,swish,113,swish,rmsprop,mean_absolute_error,547,30,7,2,0.6430413190445696
