win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,w2,w3,w4,h4,score
383,41,89,2,swish,1,max,15,61,relu,2292,relu,sgd,mean_squared_error,295,295,235,4,-1
325,40,88,2,swish,5,max,14,29,relu,843,relu,sgd,mean_squared_error,238,47,19,4,-1
344,42,99,2,swish,12,max,16,12,sigmoid,571,relu,sgd,mean_squared_error,246,20,9,4,0.5943165335598727
280,43,87,2,swish,3,max,15,34,relu,1575,relu,sgd,mean_squared_error,194,64,31,4,-1
293,44,74,4,linear,9,max,17,22,relu,78,relu,sgd,mean_squared_error,220,24,3,2,-1
424,47,111,2,swish,20,max,13,12,linear,98,relu,sgd,mean_squared_error,314,15,4,4,-1
398,43,94,2,swish,16,max,16,18,relu,114,relu,sgd,mean_squared_error,305,19,2,4,-1
318,39,81,2,tanh,7,max,14,24,relu,609,relu,sgd,mean_squared_error,238,34,11,4,3168327137828585.5
306,41,91,3,swish,1,max,15,44,tanh,6363,relu,sgd,mean_squared_error,216,216,173,3,34195417.003819905
492,48,100,2,swish,23,max,16,9,relu,335,relu,sgd,mean_squared_error,393,17,9,4,-1
357,49,96,2,swish,32,max,18,5,relu,199,relu,sgd,mean_squared_error,262,8,4,4,1.1709798110893626e+17
377,40,105,2,swish,13,max,15,10,relu,695,relu,sgd,mean_squared_error,273,21,12,4,-1
444,42,106,2,swish,28,max,16,5,relu,509,relu,sgd,mean_squared_error,339,12,8,4,-1
450,50,93,2,relu,132,max,17,1,relu,122,elu,adadelta,mean_absolute_error,358,2,2,4,0.9907427615203787
476,45,97,2,swish,21,max,14,15,relu,202,relu,sgd,mean_squared_error,380,18,4,4,-1
518,44,104,2,swish,31,max,16,8,relu,362,relu,sgd,mean_squared_error,415,13,6,4,-1
417,40,86,2,linear,50,average,15,3,relu,132,linear,adam,mean_absolute_percentage_error,332,6,4,4,0.46925708321648146
336,43,88,2,sigmoid,4,max,15,32,relu,952,sigmoid,sgd,mean_squared_error,249,62,31,4,0.6508535106793598
243,42,80,2,swish,2,max,15,35,relu,1721,relu,sgd,mean_squared_error,164,82,48,4,-1
294,39,89,3,swish,5,max,15,26,relu,695,relu,sgd,mean_squared_error,206,41,16,3,-1
326,40,85,3,swish,10,max,15,15,relu,448,relu,sgd,mean_squared_error,242,24,10,3,1.838197461009581e+17
301,41,69,3,swish,6,max,16,24,relu,712,relu,sgd,mean_squared_error,233,38,15,3,-1
262,37,85,3,swish,3,max,15,37,relu,772,relu,sgd,mean_squared_error,178,59,23,3,-1
277,41,89,2,swish,3,max,14,28,relu,871,relu,sgd,mean_squared_error,189,63,36,4,-1
344,45,90,3,swish,9,max,14,25,sigmoid,87,swish,sgd,mean_squared_error,255,28,4,3,0.5051412426107613
365,43,110,2,swish,12,max,16,11,swish,677,relu,adagrad,mean_squared_error,256,21,11,4,0.8353293842809979
317,42,92,2,swish,7,max,15,26,relu,414,relu,sgd,mean_squared_error,226,32,7,4,-1
403,44,108,2,elu,17,max,13,13,relu,135,relu,sgd,mean_squared_error,296,17,5,4,-1
302,41,91,2,swish,1,max,15,40,relu,2198,tanh,sgd,mean_squared_error,212,212,173,4,-1
403,46,83,2,swish,14,max,17,20,relu,172,relu,sgd,mean_squared_error,321,22,3,4,-1
384,44,101,2,swish,10,max,15,24,relu,235,relu,sgd,mean_squared_error,284,28,5,4,10326226.755337106
348,42,95,2,swish,59,max,14,2,relu,82,relu,sgd,mean_squared_error,254,4,3,4,-1
327,43,89,2,swish,5,max,16,30,relu,759,relu,sgd,mean_squared_error,239,47,18,4,-1
287,39,92,2,swish,4,max,15,29,linear,754,relu,sgd,mean_squared_error,196,49,21,4,-1
170,47,54,2,linear,2,max,16,50,relu,565,relu,sgd,mean_squared_error,117,58,9,4,-1
153,40,38,2,swish,2,max,15,20,relu,1288,relu,sgd,mean_squared_error,116,58,39,4,-1
437,42,97,3,tanh,17,max,14,16,relu,154,relu,sgd,mean_absolute_error,341,20,5,3,0.6433451247307707
365,46,114,2,swish,8,max,14,26,tanh,272,relu,adadelta,mean_squared_error,252,31,6,4,0.9908404741707838
313,38,87,2,swish,7,max,15,27,relu,95,relu,sgd,mean_squared_error,227,32,6,4,-1
426,43,98,2,swish,24,max,15,11,relu,120,relu,sgd,mean_squared_error,329,13,3,4,-1
467,42,95,2,swish,26,max,16,12,relu,117,relu,sgd,mean_squared_error,373,14,3,4,-1
390,41,96,2,swish,14,max,15,19,relu,127,relu,sgd,mean_squared_error,295,21,3,4,-1
410,44,88,2,swish,12,max,16,24,relu,72,relu,sgd,mean_squared_error,323,26,3,4,-1
339,43,90,4,relu,6,average,14,28,relu,385,relu,sgd,mean_squared_error,250,41,14,2,-1
